DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,METHOD2,meandiff,p-adj,lower,upper,reject
youtube,16-20,32,node2vec,RESCAL,test,Hit@10,source2target,transformed,0.0156,0.9,-0.0688,0.1,False
lj,111-115,32,deepWalk,DistMult,test,Hit@10,source2target,target,-0.0653,0.001,-0.0943,-0.0362,True
orkut,351-355,32,node2vec,TransE,test,Hit@10,target,transformed,-0.0949,0.001,-0.1223,-0.0674,True
lj,101-105,32,deepWalk,DistMult,test,MR,source2target,target,7.6148,0.001,4.6082,10.6214,True
lj,101-105,32,node2vec,DistMult,test,MR,source2target,target,6.9848,0.001,3.9011,10.0686,True
lj,101-105,32,node2vec,RESCAL,test,MR,source2target,target,4.1035,0.1503,-0.9053,9.1123,False
lj,111-115,32,node2vec,TransD,test,Hit@10,source2target,target,0.0194,0.3426,-0.0106,0.0493,False
lj,101-105,32,deepWalk,RESCAL,test,MR,source2target,target,5.5872,0.0061,1.2039,9.9704,True
lj,101-105,32,node2vec,TransH,test,MR,source2target,target,0.115,0.9,-2.6465,2.8765,False
lj,101-105,32,deepWalk,TransH,test,MR,source2target,target,0.1089,0.9,-2.4062,2.624,False
lj,101-105,32,deepWalk,TransE,test,MR,source2target,target,0.0794,0.9,-2.521,2.6798,False
lj,101-105,32,node2vec,SimplE,test,MR,source2target,target,6.0528,0.001,3.1648,8.9408,True
lj,111-115,32,deepWalk,TransD,test,Hit@10,source2target,target,0.0146,0.5988,-0.0162,0.0453,False
lj,101-105,32,node2vec,TransE,test,MR,source2target,target,0.1041,0.9,-2.4865,2.6947,False
orkut,351-355,32,node2vec,SimplE,test,Hit@10,target,transformed,0.0867,0.001,0.064,0.1093,True
lj,101-105,32,deepWalk,SimplE,test,MR,source2target,target,6.6816,0.001,3.6997,9.6635,True
orkut,351-355,32,deepWalk,RESCAL,test,Hit@10,target,transformed,-0.0397,0.0185,-0.0746,-0.0048,True
lj,111-115,32,deepWalk,TransE,test,Hit@10,source2target,target,-0.0016,0.9,-0.032,0.0287,False
lj,111-115,32,deepWalk,SimplE,test,Hit@10,source2target,target,-0.056,0.001,-0.0841,-0.0279,True
lj,101-105,32,node2vec,TransD,test,MR,source2target,target,-0.4052,0.9,-3.158,2.3476,False
lj,101-105,32,deepWalk,TransD,test,MR,source2target,target,-0.7076,0.8707,-3.1817,1.7666,False
lj,111-115,32,node2vec,TransE,test,Hit@10,source2target,target,-0.0032,0.9,-0.0345,0.0281,False
lj,111-115,32,deepWalk,TransH,test,Hit@10,source2target,target,-0.0018,0.9,-0.0322,0.0286,False
lj,111-115,32,node2vec,SimplE,test,Hit@10,source2target,target,-0.0464,0.001,-0.0694,-0.0235,True
lj,121-125,32,deepWalk,TransH,test,Hit@10,target,transformed,-0.0866,0.001,-0.1268,-0.0463,True
orkut,351-355,32,deepWalk,SimplE,test,Hit@10,target,transformed,0.025,0.0784,-0.0019,0.0519,False
lj,121-125,32,node2vec,TransE,test,Hit@10,target,transformed,-0.1038,0.001,-0.1429,-0.0648,True
lj,111-115,32,node2vec,TransH,test,Hit@10,source2target,target,-0.0019,0.9,-0.0335,0.0297,False
lj,121-125,32,deepWalk,TransE,test,Hit@10,target,transformed,-0.0809,0.001,-0.1204,-0.0415,True
lj,111-115,32,node2vec,RESCAL,test,Hit@10,source2target,transformed,-0.0338,0.3257,-0.0851,0.0176,False
orkut,351-355,32,node2vec,TransH,test,Hit@10,target,transformed,-0.0934,0.001,-0.1207,-0.0661,True
lj,111-115,32,deepWalk,RESCAL,test,Hit@10,source2target,target,-0.0153,0.8474,-0.0661,0.0355,False
youtube,16-20,32,node2vec,SimplE,test,Hit@10,target,transformed,-0.1025,0.0023,-0.1765,-0.0285,True
youtube,16-20,32,deepWalk,TransE,test,Hit@10,target,transformed,0.0048,0.9,-0.0591,0.0687,False
lj,121-125,32,deepWalk,TransD,test,Hit@10,target,transformed,-0.1585,0.001,-0.1977,-0.1193,True
orkut,351-355,32,deepWalk,TransH,test,Hit@10,target,transformed,-0.089,0.001,-0.1199,-0.058,True
youtube,16-20,32,node2vec,DistMult,test,Hit@10,target,transformed,-0.1142,0.0024,-0.197,-0.0314,True
lj,121-125,32,node2vec,SimplE,test,Hit@10,target,transformed,-0.0183,0.1497,-0.0406,0.004,False
orkut,351-355,32,deepWalk,DistMult,test,Hit@10,target,transformed,0.0271,0.0565,-0.0005,0.0546,False
youtube,16-20,32,deepWalk,TransH,test,Hit@10,target,transformed,0.0068,0.9,-0.0536,0.0672,False
youtube,16-20,32,node2vec,TransH,test,Hit@10,target,transformed,0.0033,0.9,-0.0629,0.0695,False
orkut,351-355,32,node2vec,DistMult,test,Hit@10,target,transformed,0.0905,0.001,0.0675,0.1134,True
orkut,351-355,32,node2vec,RESCAL,test,Hit@3,source,target,0.0234,0.0074,0.0047,0.0421,True
orkut,351-355,32,deepWalk,TransD,test,Hit@10,target,transformed,-0.1036,0.001,-0.1241,-0.0831,True
lj,121-125,32,node2vec,TransD,test,Hit@10,target,transformed,-0.1654,0.001,-0.2044,-0.1265,True
orkut,351-355,32,deepWalk,TransE,test,Hit@10,target,transformed,-0.0875,0.001,-0.1181,-0.0568,True
lj,121-125,32,deepWalk,RESCAL,test,Hit@10,target,transformed,-0.0292,0.6166,-0.0924,0.0341,False
lj,121-125,32,node2vec,DistMult,test,Hit@3,source,source2target,0.0001,0.9,-0.0213,0.0215,False
lj,121-125,32,node2vec,RESCAL,test,Hit@10,target,transformed,0.0182,0.8843,-0.0477,0.0841,False
orkut,351-355,32,node2vec,TransD,test,Hit@3,source,source2target,0.057,0.001,0.0409,0.0731,True
lj,121-125,32,deepWalk,SimplE,test,Hit@3,source,source2target,0.0,0.9,-0.0125,0.0125,False
youtube,16-20,32,deepWalk,DistMult,test,Hit@10,target,transformed,-0.1495,0.001,-0.2386,-0.0604,True
lj,121-125,32,deepWalk,DistMult,test,Hit@3,source,source2target,0.0,0.9,-0.0212,0.0212,False
youtube,16-20,32,deepWalk,RESCAL,test,Hit@10,target,transformed,0.0393,0.6176,-0.046,0.1245,False
youtube,16-20,32,deepWalk,SimplE,test,Hit@3,source,source2target,0.0,0.9,-0.0777,0.0777,False
lj,121-125,32,node2vec,TransH,test,Hit@3,source,source2target,0.1034,0.001,0.0707,0.1362,True
youtube,16-20,32,deepWalk,TransD,test,Hit@3,source,source2target,0.2571,0.001,0.1633,0.351,True
youtube,16-20,32,node2vec,TransD,test,Hit@3,source,source2target,0.1716,0.001,0.0717,0.2715,True
lj,111-115,32,node2vec,DistMult,test,Hit@10,source2target,transformed,0.1312,0.001,0.1009,0.1615,True
youtube,16-20,32,node2vec,TransE,test,Hit@3,source,source2target,0.1651,0.001,0.0666,0.2636,True
youtube,16-20,32,node2vec,RESCAL,test,Hit@10,target,transformed,0.0224,0.8997,-0.062,0.1068,False
lj,111-115,32,deepWalk,DistMult,test,Hit@10,source2target,transformed,0.1129,0.001,0.0838,0.142,True
lj,101-105,32,deepWalk,DistMult,test,MR,source2target,transformed,-6.3961,0.001,-9.4027,-3.3895,True
orkut,351-355,32,node2vec,TransE,test,Hit@3,source,source2target,0.0711,0.001,0.0528,0.0895,True
lj,101-105,32,node2vec,DistMult,test,MR,source2target,transformed,-4.1679,0.0031,-7.2517,-1.0842,True
lj,101-105,32,node2vec,RESCAL,test,MR,source2target,transformed,9.967,0.001,4.9582,14.9758,True
lj,111-115,32,node2vec,TransD,test,Hit@10,source2target,transformed,-0.1128,0.001,-0.1427,-0.0828,True
lj,101-105,32,deepWalk,RESCAL,test,MR,source2target,transformed,10.3868,0.001,6.0035,14.7701,True
lj,101-105,32,node2vec,TransH,test,MR,source2target,transformed,23.1712,0.001,20.4097,25.9328,True
lj,101-105,32,deepWalk,TransH,test,MR,source2target,transformed,8.0977,0.001,5.5826,10.6127,True
lj,101-105,32,deepWalk,TransE,test,MR,source2target,transformed,11.551,0.001,8.9506,14.1515,True
lj,101-105,32,node2vec,SimplE,test,MR,source2target,transformed,20.059,0.001,17.171,22.947,True
lj,111-115,32,deepWalk,TransD,test,Hit@10,source2target,transformed,-0.1285,0.001,-0.1592,-0.0977,True
lj,101-105,32,node2vec,TransE,test,MR,source2target,transformed,5.3147,0.001,2.7242,7.9053,True
lj,91-95,32,deepWalk,TransH,test,MRR,source,source2target,0.0996,0.001,0.065,0.1342,True
lj,91-95,32,node2vec,DistMult,test,MRR,source,source2target,0.0,0.9,-0.0147,0.0147,False
lj,91-95,32,deepWalk,RESCAL,test,MRR,source,source2target,0.0792,0.001,0.0369,0.1214,True
lj,91-95,32,node2vec,TransH,test,MRR,source,source2target,0.1081,0.001,0.0746,0.1415,True
lj,91-95,32,deepWalk,DistMult,test,MRR,source,source2target,0.0001,0.9,-0.0129,0.0131,False
orkut,351-355,32,node2vec,SimplE,test,Hit@3,source,source2target,0.0,0.9,-0.0161,0.0161,False
lj,101-105,32,deepWalk,SimplE,test,MR,source2target,transformed,-7.442,0.001,-10.4239,-4.4601,True
lj,91-95,32,deepWalk,SimplE,test,MRR,source,source2target,0.0,0.9,-0.0171,0.0171,False
lj,91-95,32,node2vec,TransD,test,MRR,source,source2target,0.0954,0.001,0.0622,0.1286,True
lj,91-95,32,deepWalk,TransE,test,MRR,source,source2target,0.0988,0.001,0.0659,0.1317,True
lj,111-115,32,deepWalk,TransE,test,Hit@10,source2target,transformed,-0.1618,0.001,-0.1922,-0.1314,True
lj,91-95,32,node2vec,TransE,test,MRR,source,source2target,0.1069,0.001,0.0723,0.1416,True
lj,91-95,32,deepWalk,TransD,test,MRR,source,source2target,0.0904,0.001,0.0571,0.1237,True
lj,91-95,32,node2vec,RESCAL,test,MRR,source,source2target,0.0694,0.001,0.0281,0.1108,True
lj,91-95,32,node2vec,SimplE,test,MRR,source,source2target,0.0,0.9,-0.0181,0.0181,False
lj,111-115,32,deepWalk,SimplE,test,Hit@10,source2target,transformed,0.0873,0.001,0.0592,0.1154,True
orkut,351-355,32,deepWalk,RESCAL,test,Hit@3,source,source2target,0.0773,0.001,0.0576,0.0969,True
lj,101-105,32,node2vec,TransD,test,MR,source2target,transformed,13.0485,0.001,10.2957,15.8013,True
lj,101-105,32,deepWalk,TransD,test,MR,source2target,transformed,13.0345,0.001,10.5603,15.5087,True
lj,111-115,32,node2vec,TransE,test,Hit@10,source2target,transformed,-0.0311,0.0517,-0.0624,0.0002,False
lj,111-115,32,deepWalk,TransH,test,Hit@10,source2target,transformed,-0.1471,0.001,-0.1776,-0.1167,True
lj,111-115,32,node2vec,SimplE,test,Hit@10,source2target,transformed,-0.0661,0.001,-0.0891,-0.0431,True
lj,121-125,32,deepWalk,TransH,test,Hit@3,source,source2target,0.0949,0.001,0.0625,0.1273,True
orkut,351-355,32,deepWalk,SimplE,test,Hit@3,source,source2target,0.0,0.9,-0.0148,0.0148,False
lj,121-125,32,node2vec,TransE,test,Hit@3,source,source2target,0.1012,0.001,0.0705,0.1319,True
lj,111-115,32,node2vec,TransH,test,Hit@10,source2target,transformed,-0.0079,0.9,-0.0395,0.0237,False
lj,121-125,32,deepWalk,TransE,test,Hit@3,source,source2target,0.0967,0.001,0.0652,0.1282,True
lj,111-115,32,node2vec,RESCAL,test,Hit@10,target,transformed,-0.0297,0.4444,-0.081,0.0217,False
orkut,351-355,32,node2vec,TransH,test,Hit@3,source,source2target,0.0712,0.001,0.0531,0.0893,True
lj,111-115,32,deepWalk,RESCAL,test,Hit@10,source2target,transformed,-0.0478,0.074,-0.0986,0.003,False
youtube,16-20,32,deepWalk,TransE,test,Hit@3,source,source2target,0.2824,0.001,0.1879,0.3768,True
lj,121-125,32,node2vec,SimplE,test,Hit@3,source,source2target,0.0001,0.9,-0.0124,0.0125,False
orkut,351-355,32,deepWalk,TransH,test,Hit@3,source,source2target,0.0938,0.001,0.0741,0.1134,True
lj,121-125,32,deepWalk,TransD,test,Hit@3,source,source2target,0.0915,0.001,0.0611,0.122,True
youtube,16-20,32,node2vec,SimplE,test,Hit@3,source,source2target,0.0,0.9,-0.0732,0.0732,False
youtube,16-20,32,deepWalk,TransH,test,Hit@3,source,source2target,0.2826,0.001,0.1907,0.3746,True
youtube,16-20,32,node2vec,DistMult,test,Hit@3,source,source2target,0.0,0.9,-0.0744,0.0744,False
youtube,16-20,32,node2vec,TransH,test,Hit@3,source,source2target,0.1707,0.001,0.072,0.2693,True
orkut,351-355,32,deepWalk,DistMult,test,Hit@3,source,source2target,0.0,0.9,-0.0157,0.0158,False
orkut,351-355,32,node2vec,DistMult,test,Hit@3,source,source2target,-0.0001,0.9,-0.016,0.0159,False
orkut,351-355,32,node2vec,RESCAL,test,Hit@3,source,transformed,0.017,0.0892,-0.0017,0.0357,False
orkut,351-355,32,deepWalk,TransD,test,Hit@3,source,source2target,0.0609,0.001,0.0454,0.0764,True
lj,121-125,32,node2vec,TransD,test,Hit@3,source,source2target,0.0921,0.001,0.0621,0.122,True
orkut,351-355,32,deepWalk,TransE,test,Hit@3,source,source2target,0.09,0.001,0.0701,0.1099,True
lj,121-125,32,node2vec,DistMult,test,Hit@3,source,target,-0.0341,0.001,-0.0555,-0.0127,True
orkut,351-355,32,node2vec,TransD,test,Hit@3,source,target,0.0505,0.001,0.0344,0.0666,True
lj,121-125,32,deepWalk,RESCAL,test,Hit@3,source,source2target,0.0924,0.001,0.0425,0.1422,True
lj,121-125,32,deepWalk,SimplE,test,Hit@3,source,target,-0.0355,0.001,-0.048,-0.023,True
lj,121-125,32,node2vec,RESCAL,test,Hit@3,source,source2target,0.0918,0.001,0.041,0.1427,True
youtube,16-20,32,deepWalk,DistMult,test,Hit@3,source,source2target,0.0,0.9,-0.0762,0.0762,False
lj,121-125,32,deepWalk,DistMult,test,Hit@3,source,target,-0.0359,0.001,-0.0572,-0.0147,True
youtube,16-20,32,deepWalk,SimplE,test,Hit@3,source,target,0.0542,0.2732,-0.0234,0.1319,False
lj,121-125,32,node2vec,TransH,test,Hit@3,source,target,0.1059,0.001,0.0732,0.1386,True
youtube,16-20,32,deepWalk,TransD,test,Hit@3,source,target,0.2757,0.001,0.1819,0.3695,True
youtube,16-20,32,node2vec,TransD,test,Hit@3,source,target,0.1843,0.001,0.0844,0.2842,True
lj,111-115,32,node2vec,DistMult,test,Hit@10,target,transformed,0.1873,0.001,0.1569,0.2176,True
youtube,16-20,32,deepWalk,RESCAL,test,Hit@3,source,source2target,0.0239,0.8807,-0.0618,0.1097,False
youtube,16-20,32,node2vec,TransE,test,Hit@3,source,target,0.1856,0.001,0.0872,0.2841,True
lj,111-115,32,deepWalk,DistMult,test,Hit@10,target,transformed,0.1782,0.001,0.1491,0.2072,True
lj,101-105,32,deepWalk,DistMult,test,MR,target,transformed,-14.0109,0.001,-17.0175,-11.0043,True
orkut,351-355,32,node2vec,TransE,test,Hit@3,source,target,0.0586,0.001,0.0403,0.077,True
youtube,16-20,32,node2vec,RESCAL,test,Hit@3,source,source2target,0.012,0.9,-0.0773,0.1013,False
lj,101-105,32,node2vec,DistMult,test,MR,target,transformed,-11.1528,0.001,-14.2365,-8.069,True
lj,101-105,32,node2vec,RESCAL,test,MR,target,transformed,5.8635,0.0143,0.8547,10.8723,True
lj,111-115,32,node2vec,TransD,test,Hit@10,target,transformed,-0.1321,0.001,-0.1621,-0.1021,True
lj,101-105,32,deepWalk,RESCAL,test,MR,target,transformed,4.7996,0.0255,0.4164,9.1829,True
lj,101-105,32,node2vec,TransH,test,MR,target,transformed,23.0562,0.001,20.2947,25.8177,True
lj,101-105,32,deepWalk,TransH,test,MR,target,transformed,7.9888,0.001,5.4737,10.5038,True
lj,101-105,32,deepWalk,TransE,test,MR,target,transformed,11.4716,0.001,8.8712,14.0721,True
lj,101-105,32,node2vec,SimplE,test,MR,target,transformed,14.0062,0.001,11.1182,16.8942,True
lj,111-115,32,deepWalk,TransD,test,Hit@10,target,transformed,-0.1431,0.001,-0.1738,-0.1123,True
lj,101-105,32,node2vec,TransE,test,MR,target,transformed,5.2106,0.001,2.6201,7.8012,True
lj,91-95,32,deepWalk,TransH,test,MRR,source,target,0.0987,0.001,0.0641,0.1333,True
lj,91-95,32,node2vec,DistMult,test,MRR,source,target,-0.0229,0.001,-0.0376,-0.0083,True
lj,91-95,32,deepWalk,RESCAL,test,MRR,source,target,0.0689,0.001,0.0267,0.1112,True
lj,91-95,32,node2vec,TransH,test,MRR,source,target,0.1074,0.001,0.0739,0.1408,True
lj,91-95,32,deepWalk,DistMult,test,MRR,source,target,-0.0276,0.001,-0.0406,-0.0146,True
orkut,351-355,32,node2vec,SimplE,test,Hit@3,source,target,-0.0174,0.0277,-0.0335,-0.0013,True
lj,101-105,32,deepWalk,SimplE,test,MR,target,transformed,-14.1235,0.001,-17.1054,-11.1416,True
lj,91-95,32,deepWalk,SimplE,test,MRR,source,target,-0.0265,0.001,-0.0436,-0.0094,True
lj,91-95,32,node2vec,TransD,test,MRR,source,target,0.1032,0.001,0.0701,0.1364,True
lj,91-95,32,deepWalk,TransE,test,MRR,source,target,0.0979,0.001,0.065,0.1308,True
lj,111-115,32,deepWalk,TransE,test,Hit@10,target,transformed,-0.1602,0.001,-0.1906,-0.1298,True
lj,91-95,32,node2vec,TransE,test,MRR,source,target,0.1064,0.001,0.0717,0.141,True
lj,91-95,32,deepWalk,TransD,test,MRR,source,target,0.099,0.001,0.0657,0.1323,True
lj,91-95,32,node2vec,RESCAL,test,MRR,source,target,0.0711,0.001,0.0297,0.1124,True
lj,91-95,32,node2vec,SimplE,test,MRR,source,target,-0.0218,0.0109,-0.04,-0.0037,True
lj,111-115,32,deepWalk,SimplE,test,Hit@10,target,transformed,0.1434,0.001,0.1153,0.1714,True
orkut,351-355,32,deepWalk,RESCAL,test,Hit@3,source,target,0.0284,0.0013,0.0087,0.048,True
lj,101-105,32,node2vec,TransD,test,MR,target,transformed,13.4537,0.001,10.7009,16.2065,True
lj,101-105,32,deepWalk,TransD,test,MR,target,transformed,13.742,0.001,11.2678,16.2162,True
lj,111-115,32,node2vec,TransE,test,Hit@10,target,transformed,-0.028,0.0981,-0.0593,0.0033,False
lj,111-115,32,deepWalk,TransH,test,Hit@10,target,transformed,-0.1453,0.001,-0.1758,-0.1149,True
lj,111-115,32,node2vec,SimplE,test,Hit@10,target,transformed,-0.0196,0.1232,-0.0426,0.0033,False
lj,121-125,32,deepWalk,TransH,test,Hit@3,source,target,0.1024,0.001,0.07,0.1348,True
orkut,351-355,32,deepWalk,SimplE,test,Hit@3,source,target,-0.0258,0.001,-0.0407,-0.011,True
lj,121-125,32,node2vec,TransE,test,Hit@3,source,target,0.1023,0.001,0.0716,0.133,True
lj,111-115,32,node2vec,TransH,test,Hit@10,target,transformed,-0.006,0.9,-0.0376,0.0256,False
lj,121-125,32,deepWalk,TransE,test,Hit@3,source,target,0.0971,0.001,0.0655,0.1286,True
orkut,351-355,32,node2vec,TransH,test,Hit@3,source,target,0.0577,0.001,0.0397,0.0758,True
lj,111-115,32,node2vec,RESCAL,test,Hit@3,source,source2target,0.0577,0.001,0.0272,0.0881,True
lj,111-115,32,deepWalk,RESCAL,test,Hit@10,target,transformed,-0.0324,0.353,-0.0832,0.0184,False
youtube,16-20,32,deepWalk,TransE,test,Hit@3,source,target,0.3058,0.001,0.2113,0.4002,True
lj,121-125,32,node2vec,SimplE,test,Hit@3,source,target,-0.0336,0.001,-0.0461,-0.0212,True
orkut,351-355,32,deepWalk,TransH,test,Hit@3,source,target,0.0614,0.001,0.0417,0.081,True
lj,121-125,32,deepWalk,TransD,test,Hit@3,source,target,0.1052,0.001,0.0748,0.1357,True
youtube,16-20,32,node2vec,SimplE,test,Hit@3,source,target,0.0365,0.5613,-0.0366,0.1097,False
youtube,16-20,32,node2vec,DistMult,test,Hit@3,source,target,0.0288,0.7247,-0.0457,0.1032,False
youtube,16-20,32,deepWalk,TransH,test,Hit@3,source,target,0.3038,0.001,0.2118,0.3957,True
youtube,16-20,32,node2vec,TransH,test,Hit@3,source,target,0.1815,0.001,0.0829,0.2802,True
orkut,351-355,32,deepWalk,DistMult,test,Hit@3,source,target,-0.0266,0.001,-0.0423,-0.0108,True
orkut,351-355,32,node2vec,DistMult,test,Hit@3,source,target,-0.0181,0.0187,-0.0341,-0.0022,True
orkut,351-355,32,node2vec,RESCAL,test,Hit@3,source2target,target,-0.0601,0.001,-0.0789,-0.0414,True
orkut,351-355,32,deepWalk,TransD,test,Hit@3,source,target,0.052,0.001,0.0365,0.0675,True
lj,121-125,32,node2vec,TransD,test,Hit@3,source,target,0.1101,0.001,0.0802,0.1401,True
orkut,351-355,32,deepWalk,TransE,test,Hit@3,source,target,0.0612,0.001,0.0413,0.0811,True
lj,121-125,32,node2vec,DistMult,test,Hit@3,source,transformed,0.0498,0.001,0.0284,0.0712,True
orkut,351-355,32,node2vec,TransD,test,Hit@3,source,transformed,-0.0,0.9,-0.0161,0.0161,False
lj,121-125,32,deepWalk,RESCAL,test,Hit@3,source,target,0.0677,0.0029,0.0178,0.1175,True
lj,121-125,32,deepWalk,SimplE,test,Hit@3,source,transformed,-0.0339,0.001,-0.0463,-0.0214,True
lj,121-125,32,node2vec,RESCAL,test,Hit@3,source,target,0.0672,0.004,0.0164,0.1181,True
youtube,16-20,32,deepWalk,DistMult,test,Hit@3,source,target,0.0465,0.3944,-0.0297,0.1226,False
lj,121-125,32,deepWalk,DistMult,test,Hit@3,source,transformed,0.0878,0.001,0.0665,0.109,True
youtube,16-20,32,deepWalk,SimplE,test,Hit@3,source,transformed,0.0967,0.0079,0.019,0.1743,True
lj,121-125,32,node2vec,TransH,test,Hit@3,source,transformed,0.0467,0.0015,0.014,0.0794,True
youtube,16-20,32,deepWalk,TransD,test,Hit@3,source,transformed,0.3589,0.001,0.2651,0.4527,True
youtube,16-20,32,node2vec,TransD,test,Hit@3,source,transformed,0.2705,0.001,0.1706,0.3705,True
youtube,16-20,32,deepWalk,SimplE,test,Hit@3,source2target,target,0.0542,0.2732,-0.0234,0.1319,False
lj,111-115,32,node2vec,DistMult,test,Hit@3,source,source2target,0.0,0.9,-0.0189,0.0189,False
youtube,16-20,32,deepWalk,RESCAL,test,Hit@3,source,target,0.0625,0.2375,-0.0233,0.1482,False
youtube,16-20,32,node2vec,TransE,test,Hit@3,source,transformed,0.2626,0.001,0.1641,0.3611,True
lj,101-105,32,deepWalk,DistMult,test,Hit@10,source,source2target,-0.0,0.9,-0.0351,0.0351,False
lj,111-115,32,deepWalk,DistMult,test,Hit@3,source,source2target,0.0,0.9,-0.0183,0.0183,False
orkut,351-355,32,node2vec,TransE,test,Hit@3,source,transformed,0.005,0.894,-0.0134,0.0233,False
youtube,16-20,32,node2vec,RESCAL,test,Hit@3,source,target,0.0534,0.4125,-0.0359,0.1427,False
lj,101-105,32,node2vec,DistMult,test,Hit@10,source,source2target,-0.0,0.9,-0.0354,0.0354,False
lj,101-105,32,node2vec,RESCAL,test,Hit@10,source,source2target,0.12,0.001,0.0605,0.1795,True
lj,111-115,32,node2vec,TransD,test,Hit@3,source,source2target,0.0874,0.001,0.068,0.1068,True
lj,101-105,32,node2vec,TransH,test,Hit@10,source,source2target,0.1902,0.001,0.1513,0.229,True
lj,101-105,32,deepWalk,RESCAL,test,Hit@10,source,source2target,0.1398,0.001,0.0844,0.1951,True
lj,101-105,32,deepWalk,TransH,test,Hit@10,source,source2target,0.1798,0.001,0.1415,0.2182,True
lj,101-105,32,deepWalk,TransE,test,Hit@10,source,source2target,0.1822,0.001,0.1438,0.2206,True
lj,101-105,32,node2vec,SimplE,test,Hit@10,source,source2target,0.0,0.9,-0.0281,0.0281,False
lj,111-115,32,deepWalk,TransD,test,Hit@3,source,source2target,0.0783,0.001,0.057,0.0997,True
lj,91-95,32,deepWalk,TransH,test,MRR,source,transformed,0.0062,0.9,-0.0284,0.0408,False
lj,101-105,32,node2vec,TransE,test,Hit@10,source,source2target,0.1872,0.001,0.1487,0.2258,True
lj,91-95,32,node2vec,DistMult,test,MRR,source,transformed,0.029,0.001,0.0144,0.0437,True
lj,91-95,32,deepWalk,RESCAL,test,MRR,source,transformed,0.038,0.0946,-0.0042,0.0803,False
lj,91-95,32,node2vec,TransH,test,MRR,source,transformed,-0.0017,0.9,-0.0352,0.0317,False
lj,91-95,32,deepWalk,DistMult,test,MRR,source,transformed,0.0164,0.0067,0.0034,0.0295,True
orkut,351-355,32,node2vec,SimplE,test,Hit@3,source,transformed,0.0376,0.001,0.0215,0.0537,True
lj,101-105,32,deepWalk,SimplE,test,Hit@10,source,source2target,0.0,0.9,-0.0355,0.0355,False
lj,91-95,32,deepWalk,SimplE,test,MRR,source,transformed,0.087,0.001,0.0699,0.1041,True
lj,91-95,32,node2vec,TransD,test,MRR,source,transformed,-0.0017,0.9,-0.0349,0.0315,False
lj,91-95,32,deepWalk,TransE,test,MRR,source,transformed,-0.0117,0.7696,-0.0446,0.0212,False
lj,111-115,32,deepWalk,TransE,test,Hit@3,source,source2target,0.084,0.001,0.0629,0.1051,True
lj,91-95,32,node2vec,TransE,test,MRR,source,transformed,0.0941,0.001,0.0594,0.1287,True
lj,91-95,32,deepWalk,TransD,test,MRR,source,transformed,-0.0011,0.9,-0.0344,0.0322,False
lj,91-95,32,node2vec,RESCAL,test,MRR,source,transformed,0.0422,0.0438,0.0008,0.0835,True
lj,91-95,32,node2vec,SimplE,test,MRR,source,transformed,0.0969,0.001,0.0788,0.1151,True
lj,111-115,32,deepWalk,SimplE,test,Hit@3,source,source2target,0.0,0.9,-0.0181,0.0181,False
orkut,351-355,32,deepWalk,RESCAL,test,Hit@3,source,transformed,0.0098,0.5604,-0.0098,0.0295,False
lj,101-105,32,deepWalk,TransD,test,Hit@10,source,source2target,0.186,0.001,0.1481,0.2239,True
lj,101-105,32,node2vec,TransD,test,Hit@10,source,source2target,0.1788,0.001,0.1383,0.2193,True
lj,111-115,32,node2vec,TransE,test,Hit@3,source,source2target,0.0943,0.001,0.0721,0.1165,True
lj,111-115,32,deepWalk,TransH,test,Hit@3,source,source2target,0.0864,0.001,0.065,0.1077,True
lj,121-125,32,deepWalk,TransH,test,Hit@3,source,transformed,0.034,0.0359,0.0016,0.0664,True
lj,111-115,32,node2vec,SimplE,test,Hit@3,source,source2target,0.0,0.9,-0.0125,0.0125,False
orkut,351-355,32,deepWalk,SimplE,test,Hit@3,source,transformed,-0.0102,0.2847,-0.025,0.0046,False
lj,121-125,32,node2vec,TransE,test,Hit@3,source,transformed,0.0281,0.0855,-0.0026,0.0588,False
lj,121-125,32,deepWalk,TransE,test,Hit@3,source,transformed,0.0314,0.0516,-0.0001,0.0629,False
orkut,351-355,32,node2vec,TransH,test,Hit@3,source,transformed,0.0038,0.9,-0.0143,0.0219,False
lj,111-115,32,node2vec,TransH,test,Hit@3,source,source2target,0.0918,0.001,0.0687,0.1148,True
lj,111-115,32,node2vec,RESCAL,test,Hit@3,source,target,0.0575,0.001,0.0271,0.0879,True
youtube,16-20,32,deepWalk,TransE,test,Hit@3,source,transformed,0.391,0.001,0.2965,0.4854,True
lj,121-125,32,node2vec,SimplE,test,Hit@3,source,transformed,-0.034,0.001,-0.0464,-0.0215,True
orkut,351-355,32,deepWalk,TransH,test,Hit@3,source,transformed,0.009,0.6238,-0.0107,0.0287,False
lj,111-115,32,deepWalk,RESCAL,test,Hit@3,source,source2target,0.0581,0.001,0.0271,0.0892,True
lj,121-125,32,deepWalk,TransD,test,Hit@3,source,transformed,0.0086,0.8773,-0.0219,0.039,False
youtube,16-20,32,node2vec,SimplE,test,Hit@3,source,transformed,0.0647,0.1037,-0.0084,0.1379,False
youtube,16-20,32,node2vec,DistMult,test,Hit@3,source,transformed,0.0852,0.0177,0.0107,0.1596,True
