DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,METHOD2,meandiff,p-adj,lower,upper,reject
youtube,16-20,32,deepWalk,TransE,test,MRR,source,target,0.2056,0.001,0.1396,0.2716,True
youtube,16-20,32,node2vec,SimplE,test,MRR,source,target,0.004,0.9,-0.0244,0.0324,False
orkut,351-355,32,node2vec,RESCAL,test,MRR,source,target,0.0214,0.0051,0.0049,0.0378,True
orkut,351-355,32,deepWalk,TransH,test,MRR,source,target,0.0578,0.001,0.0397,0.0759,True
lj,121-125,32,deepWalk,TransD,test,MRR,source,target,0.0856,0.001,0.0609,0.1104,True
youtube,16-20,32,node2vec,DistMult,test,MRR,source,target,0.0043,0.9,-0.0249,0.0334,False
orkut,351-355,32,node2vec,DistMult,test,MRR,source,target,-0.0197,0.0018,-0.0337,-0.0057,True
orkut,351-355,32,deepWalk,DistMult,test,MRR,source,target,-0.0281,0.001,-0.0425,-0.0136,True
youtube,16-20,32,deepWalk,TransH,test,MRR,source,target,0.2185,0.001,0.1519,0.285,True
youtube,16-20,32,node2vec,TransH,test,MRR,source,target,0.1545,0.001,0.0849,0.2241,True
lj,121-125,32,node2vec,SimplE,test,MRR,source,target,-0.0315,0.001,-0.0412,-0.0217,True
orkut,351-355,32,deepWalk,TransD,test,MRR,source,target,0.0512,0.001,0.0363,0.066,True
lj,121-125,32,node2vec,TransD,test,MRR,source,target,0.0916,0.001,0.0668,0.1164,True
orkut,351-355,32,deepWalk,TransE,test,MRR,source,target,0.0576,0.001,0.0396,0.0757,True
youtube,16-20,32,deepWalk,DistMult,test,MRR,source,target,0.016,0.4933,-0.0133,0.0454,False
lj,121-125,32,deepWalk,RESCAL,test,MRR,source,target,0.0547,0.0077,0.0108,0.0986,True
lj,121-125,32,node2vec,RESCAL,test,MRR,source,target,0.0561,0.0077,0.0111,0.1011,True
lj,121-125,32,node2vec,DistMult,test,MRR,source,transformed,0.0377,0.001,0.0202,0.0552,True
youtube,16-20,32,node2vec,RESCAL,test,MRR,source,target,0.0199,0.7887,-0.0381,0.0779,False
youtube,16-20,32,deepWalk,SimplE,test,MRR,source,target,0.0158,0.5131,-0.0138,0.0453,False
youtube,16-20,32,deepWalk,RESCAL,test,MRR,source,target,0.031,0.4644,-0.0239,0.0859,False
lj,121-125,32,deepWalk,SimplE,test,MRR,source,transformed,-0.0341,0.001,-0.0432,-0.025,True
orkut,351-355,32,node2vec,TransD,test,MRR,source,transformed,0.0003,0.9,-0.0148,0.0154,False
youtube,16-20,32,deepWalk,TransD,test,MRR,source,transformed,0.2551,0.001,0.1894,0.3208,True
lj,121-125,32,node2vec,TransH,test,MRR,source,transformed,0.0377,0.0028,0.0101,0.0654,True
youtube,16-20,32,node2vec,TransD,test,MRR,source,transformed,0.2003,0.001,0.1312,0.2694,True
lj,121-125,32,deepWalk,DistMult,test,MRR,source,transformed,0.0717,0.001,0.0544,0.0891,True
youtube,16-20,32,node2vec,TransE,test,MRR,source,transformed,0.2073,0.001,0.1365,0.2782,True
lj,111-115,32,node2vec,DistMult,test,MRR,source,source2target,0.0001,0.9,-0.0154,0.0155,False
lj,111-115,32,deepWalk,DistMult,test,MRR,source,source2target,0.0,0.9,-0.0146,0.0146,False
orkut,351-355,32,node2vec,TransE,test,MRR,source,transformed,0.003,0.9,-0.0142,0.0202,False
orkut,351-355,32,node2vec,SimplE,test,MRR,source,transformed,0.0341,0.001,0.02,0.0482,True
lj,111-115,32,node2vec,TransD,test,MRR,source,source2target,0.0752,0.001,0.0594,0.0909,True
lj,111-115,32,deepWalk,TransD,test,MRR,source,source2target,0.0673,0.001,0.0497,0.0849,True
lj,111-115,32,deepWalk,TransE,test,MRR,source,source2target,0.0709,0.001,0.0541,0.0878,True
orkut,351-355,32,deepWalk,RESCAL,test,MRR,source,transformed,0.0108,0.3794,-0.0066,0.0282,False
lj,111-115,32,deepWalk,SimplE,test,MRR,source,source2target,0.0,0.9,-0.0144,0.0145,False
lj,111-115,32,node2vec,SimplE,test,MRR,source,source2target,0.0,0.9,-0.0103,0.0103,False
lj,111-115,32,deepWalk,TransH,test,MRR,source,source2target,0.0724,0.001,0.0555,0.0893,True
lj,111-115,32,node2vec,TransE,test,MRR,source,source2target,0.0765,0.001,0.0587,0.0943,True
orkut,351-355,32,deepWalk,SimplE,test,MRR,source,transformed,-0.01,0.2652,-0.0242,0.0042,False
lj,121-125,32,deepWalk,TransH,test,MRR,source,transformed,0.0267,0.0641,-0.001,0.0545,False
lj,111-115,32,node2vec,RESCAL,test,MRR,source,source2target,0.0476,0.001,0.0224,0.0728,True
lj,111-115,32,node2vec,TransH,test,MRR,source,source2target,0.0759,0.001,0.0578,0.094,True
lj,121-125,32,deepWalk,TransE,test,MRR,source,transformed,0.0271,0.049,0.0001,0.054,True
lj,121-125,32,node2vec,TransE,test,MRR,source,transformed,0.0256,0.0519,-0.0001,0.0513,False
lj,111-115,32,deepWalk,RESCAL,test,MRR,source,source2target,0.0487,0.001,0.0234,0.074,True
orkut,351-355,32,node2vec,TransH,test,MRR,source,transformed,0.0035,0.9,-0.0135,0.0206,False
youtube,16-20,32,node2vec,SimplE,test,MRR,source,transformed,0.021,0.2257,-0.0074,0.0493,False
