DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,mean,iqr,cilo,cihi,whishi,whislo,q1,med,q3
youtube,16-20,32,node2vec,TransH,test,Hit@10,target,0.8536234411764707,0.22916650000000005,0.8313688833528122,0.9186311166471878,1.0,0.5,0.7708335,0.875,1.0
youtube,16-20,32,node2vec,TransH,test,Hit@3,source,0.24095339705882357,0.18437499999999998,0.183150757895132,0.253357242104868,0.5,0.0,0.11875,0.218254,0.303125
youtube,16-20,32,node2vec,TransH,test,Hit@3,source2target,0.41163636764705885,0.3125,0.34050297948327457,0.4594970205167255,1.0,0.0,0.25,0.4,0.5625
youtube,16-20,32,node2vec,TransH,test,Hit@3,transformed,0.5071749264705883,0.42500025,0.419084004499637,0.580915995500363,1.0,0.0,0.32499975,0.5,0.75
youtube,16-20,32,node2vec,TransH,test,Hit@3,target,0.42249070588235293,0.26388900000000004,0.3827935504091579,0.4832774495908421,0.875,0.0,0.25,0.4330355,0.513889
youtube,16-20,32,node2vec,TransH,test,Hit@1,source,0.06587647058823529,0.125,-0.023798808206690173,0.023798808206690173,0.25,0.0,0.0,0.0,0.125
youtube,16-20,32,node2vec,TransH,test,Hit@1,source2target,0.20790867647058822,0.23749974999999998,0.1214493120049051,0.2118846879950949,0.5,0.0,0.09583325000000001,0.166667,0.333333
youtube,16-20,32,node2vec,TransH,test,Hit@1,transformed,0.26368330882352936,0.25,0.15240238358661967,0.24759761641338035,0.666667,0.0,0.125,0.2,0.375
youtube,16-20,32,node2vec,TransH,test,Hit@1,target,0.20735719117647058,0.20729174999999997,0.15428362719136668,0.23321637280863333,0.5,0.0,0.09583325000000001,0.19375,0.303125
youtube,16-20,32,deepWalk,TransH,test,MRR,source,0.16663379411764706,0.07019600000000001,0.1419898508729854,0.1687191491270146,0.276145,0.084676,0.12428249999999999,0.1553545,0.1944785
youtube,16-20,32,deepWalk,TransH,test,MRR,source2target,0.37458761764705883,0.21249425,0.2946656207938042,0.3755793792061958,0.645202,0.116088,0.26105275,0.3351225,0.473547
youtube,16-20,32,deepWalk,TransD,test,MRR,source,0.17452220588235293,0.0723725,0.15537946602449051,0.18293753397550946,0.314484,0.084201,0.13538275,0.1691585,0.20775525
youtube,16-20,32,deepWalk,TransD,test,MRR,source2target,0.3650745882352941,0.18090675,0.3128340796276348,0.3817199203723652,0.72,0.129024,0.269703,0.347277,0.45060975000000003
youtube,16-20,32,deepWalk,TransH,test,MRR,transformed,0.4438453823529412,0.2527357500000001,0.35581252287020804,0.45204947712979204,0.817424,0.163224,0.2972645,0.40393100000000004,0.5500002500000001
youtube,16-20,32,node2vec,SimplE,test,MRR,source,0.18137355882352943,0.08970699999999998,0.16434214249761958,0.19850085750238045,0.345833,0.081735,0.1294765,0.1814215,0.21918349999999998
youtube,16-20,32,deepWalk,TransH,test,MRR,target,0.38509766176470583,0.21305900000000005,0.31445709777832637,0.3955859022216736,0.778571,0.125426,0.26794924999999997,0.3550215,0.48100825
youtube,16-20,32,node2vec,SimplE,test,MRR,source2target,0.18113869117647058,0.08970699999999998,0.16434214249761958,0.19850085750238045,0.345833,0.081735,0.1294765,0.1814215,0.21918349999999998
youtube,16-20,32,node2vec,SimplE,test,MRR,transformed,0.20234245588235292,0.09438625,0.16662875791121035,0.20256924208878968,0.380838,0.081818,0.14514149999999998,0.184599,0.23952774999999998
youtube,16-20,32,deepWalk,TransD,test,MRR,transformed,0.4296403823529411,0.17849399999999999,0.3567409442236404,0.42470805577635967,0.722917,0.125909,0.3072835,0.39072450000000003,0.4857775
youtube,16-20,32,deepWalk,TransH,test,MR,source,9.502702970588233,2.336904999999998,9.055075568861959,9.944924431138041,12.625,6.083333,8.3714285,9.5,10.708333499999998
youtube,16-20,32,node2vec,SimplE,test,MRR,target,0.1853777205882353,0.06703550000000003,0.16806907993968334,0.19359492006031664,0.279762,0.077832,0.145194,0.180832,0.21222950000000002
youtube,16-20,32,node2vec,SimplE,test,MR,source,8.130115029411764,2.564583249999999,7.615894800825279,8.592439199174722,12.428572,3.7,6.841666750000001,8.104167,9.40625
youtube,16-20,32,deepWalk,TransH,test,MR,source2target,5.596644558823529,2.8333329999999997,5.1355604107785116,6.214439589221488,9.625,1.0,4.166667,5.675,7.0
